UV_CACHE_DIR=.uv-cache uv run pytest tests/integration/cognition/test_persona_policy_quantitative.py -s --no-cov
============================= test session starts ==============================
platform darwin -- Python 3.12.13, pytest-8.4.2, pluggy-1.6.0
rootdir: /Users/cassia/Local/Code/iris_memory_core
configfile: pyproject.toml
plugins: cov-7.1.0, anyio-4.15.0
collected 2800 items

tests/integration/cognition/test_persona_policy_quantitative.py W03 locked/0: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/129: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/130: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/131: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/132: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/133: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/134: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/135: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/136: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/137: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/138: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/139: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/140: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/141: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/142: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/143: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/144: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/145: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/146: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/147: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/148: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/149: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/150: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/151: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/152: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/153: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/154: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/155: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/156: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/157: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/158: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/159: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/160: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/161: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/162: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/163: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/164: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/165: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/166: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/167: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/168: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/169: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/170: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/171: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/172: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/173: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/174: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/175: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/176: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/177: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/178: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/179: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/180: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/181: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/182: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/183: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/184: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/185: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/186: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/187: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/188: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/189: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/190: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/191: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/192: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/193: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/194: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/195: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/196: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/197: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/198: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/199: rejected by locked policy forbids Persona proposals; current unchanged
.W03 manual/0: accepted at boundary; one Current revision
.W03 manual/1: accepted at boundary; one Current revision
.W03 manual/2: accepted at boundary; one Current revision
.W03 manual/3: accepted at boundary; one Current revision
.W03 manual/4: accepted at boundary; one Current revision
.W03 manual/5: accepted at boundary; one Current revision
.W03 manual/6: accepted at boundary; one Current revision
.W03 manual/7: accepted at boundary; one Current revision
.W03 manual/8: accepted at boundary; one Current revision
.W03 manual/9: accepted at boundary; one Current revision
.W03 manual/10: accepted at boundary; one Current revision
.W03 manual/11: accepted at boundary; one Current revision
.W03 manual/12: accepted at boundary; one Current revision
.W03 manual/13: accepted at boundary; one Current revision
.W03 manual/14: accepted at boundary; one Current revision
.W03 manual/15: accepted at boundary; one Current revision
.W03 manual/16: accepted at boundary; one Current revision
.W03 manual/17: accepted at boundary; one Current revision
.W03 manual/18: accepted at boundary; one Current revision
.W03 manual/19: accepted at boundary; one Current revision
.W03 manual/20: accepted at boundary; one Current revision
.W03 manual/21: accepted at boundary; one Current revision
.W03 manual/22: accepted at boundary; one Current revision
.W03 manual/23: accepted at boundary; one Current revision
.W03 manual/24: accepted at boundary; one Current revision
.W03 manual/25: accepted at boundary; one Current revision
.W03 manual/26: accepted at boundary; one Current revision
.W03 manual/27: accepted at boundary; one Current revision
.W03 manual/28: accepted at boundary; one Current revision
.W03 manual/29: accepted at boundary; one Current revision
.W03 manual/30: accepted at boundary; one Current revision
.W03 manual/31: accepted at boundary; one Current revision
.W03 manual/32: accepted at boundary; one Current revision
.W03 manual/33: accepted at boundary; one Current revision
.W03 manual/34: accepted at boundary; one Current revision
.W03 manual/35: accepted at boundary; one Current revision
.W03 manual/36: accepted at boundary; one Current revision
.W03 manual/37: accepted at boundary; one Current revision
.W03 manual/38: accepted at boundary; one Current revision
.W03 manual/39: accepted at boundary; one Current revision
.W03 manual/40: accepted at boundary; one Current revision
.W03 manual/41: accepted at boundary; one Current revision
.W03 manual/42: accepted at boundary; one Current revision
.W03 manual/43: accepted at boundary; one Current revision
.W03 manual/44: accepted at boundary; one Current revision
.W03 manual/45: accepted at boundary; one Current revision
.W03 manual/46: accepted at boundary; one Current revision
.W03 manual/47: accepted at boundary; one Current revision
.W03 manual/48: accepted at boundary; one Current revision
.W03 manual/49: accepted at boundary; one Current revision
.W03 manual/50: accepted at boundary; one Current revision
.W03 manual/51: accepted at boundary; one Current revision
.W03 manual/52: accepted at boundary; one Current revision
.W03 manual/53: accepted at boundary; one Current revision
.W03 manual/54: accepted at boundary; one Current revision
.W03 manual/55: accepted at boundary; one Current revision
.W03 manual/56: accepted at boundary; one Current revision
.W03 manual/57: accepted at boundary; one Current revision
.W03 manual/58: accepted at boundary; one Current revision
.W03 manual/59: accepted at boundary; one Current revision
.W03 manual/60: accepted at boundary; one Current revision
.W03 manual/61: accepted at boundary; one Current revision
.W03 manual/62: accepted at boundary; one Current revision
.W03 manual/63: accepted at boundary; one Current revision
.W03 manual/64: accepted at boundary; one Current revision
.W03 manual/65: accepted at boundary; one Current revision
.W03 manual/66: accepted at boundary; one Current revision
.W03 manual/67: accepted at boundary; one Current revision
.W03 manual/68: accepted at boundary; one Current revision
.W03 manual/69: accepted at boundary; one Current revision
.W03 manual/70: accepted at boundary; one Current revision
.W03 manual/71: accepted at boundary; one Current revision
.W03 manual/72: accepted at boundary; one Current revision
.W03 manual/73: accepted at boundary; one Current revision
.W03 manual/74: accepted at boundary; one Current revision
.W03 manual/75: accepted at boundary; one Current revision
.W03 manual/76: accepted at boundary; one Current revision
.W03 manual/77: accepted at boundary; one Current revision
.W03 manual/78: accepted at boundary; one Current revision
.W03 manual/79: accepted at boundary; one Current revision
.W03 manual/80: accepted at boundary; one Current revision
.W03 manual/81: accepted at boundary; one Current revision
.W03 manual/82: accepted at boundary; one Current revision
.W03 manual/83: accepted at boundary; one Current revision
.W03 manual/84: accepted at boundary; one Current revision
.W03 manual/85: accepted at boundary; one Current revision
.W03 manual/86: accepted at boundary; one Current revision
.W03 manual/87: accepted at boundary; one Current revision
.W03 manual/88: accepted at boundary; one Current revision
.W03 manual/89: accepted at boundary; one Current revision
.W03 manual/90: accepted at boundary; one Current revision
.W03 manual/91: accepted at boundary; one Current revision
.W03 manual/92: accepted at boundary; one Current revision
.W03 manual/93: accepted at boundary; one Current revision
.W03 manual/94: accepted at boundary; one Current revision
.W03 manual/95: accepted at boundary; one Current revision
.W03 manual/96: accepted at boundary; one Current revision
.W03 manual/97: accepted at boundary; one Current revision
.W03 manual/98: accepted at boundary; one Current revision
.W03 manual/99: accepted at boundary; one Current revision
.W03 manual/100: accepted at boundary; one Current revision
.W03 manual/101: accepted at boundary; one Current revision
.W03 manual/102: accepted at boundary; one Current revision
.W03 manual/103: accepted at boundary; one Current revision
.W03 manual/104: accepted at boundary; one Current revision
.W03 manual/105: accepted at boundary; one Current revision
.W03 manual/106: accepted at boundary; one Current revision
.W03 manual/107: accepted at boundary; one Current revision
.W03 manual/108: accepted at boundary; one Current revision
.W03 manual/109: accepted at boundary; one Current revision
.W03 manual/110: accepted at boundary; one Current revision
.W03 manual/111: accepted at boundary; one Current revision
.W03 manual/112: accepted at boundary; one Current revision
.W03 manual/113: accepted at boundary; one Current revision
.W03 manual/114: accepted at boundary; one Current revision
.W03 manual/115: accepted at boundary; one Current revision
.W03 manual/116: accepted at boundary; one Current revision
.W03 manual/117: accepted at boundary; one Current revision
.W03 manual/118: accepted at boundary; one Current revision
.W03 manual/119: accepted at boundary; one Current revision
.W03 manual/120: accepted at boundary; one Current revision
.W03 manual/121: accepted at boundary; one Current revision
.W03 manual/122: accepted at boundary; one Current revision
.W03 manual/123: accepted at boundary; one Current revision
.W03 manual/124: accepted at boundary; one Current revision
.W03 manual/125: accepted at boundary; one Current revision
.W03 manual/126: accepted at boundary; one Current revision
.W03 manual/127: accepted at boundary; one Current revision
.W03 manual/128: accepted at boundary; one Current revision
.W03 manual/129: accepted at boundary; one Current revision
.W03 manual/130: accepted at boundary; one Current revision
.W03 manual/131: accepted at boundary; one Current revision
.W03 manual/132: accepted at boundary; one Current revision
.W03 manual/133: accepted at boundary; one Current revision
.W03 manual/134: accepted at boundary; one Current revision
.W03 manual/135: accepted at boundary; one Current revision
.W03 manual/136: accepted at boundary; one Current revision
.W03 manual/137: accepted at boundary; one Current revision
.W03 manual/138: accepted at boundary; one Current revision
.W03 manual/139: accepted at boundary; one Current revision
.W03 manual/140: accepted at boundary; one Current revision
.W03 manual/141: accepted at boundary; one Current revision
.W03 manual/142: accepted at boundary; one Current revision
.W03 manual/143: accepted at boundary; one Current revision
.W03 manual/144: accepted at boundary; one Current revision
.W03 manual/145: accepted at boundary; one Current revision
.W03 manual/146: accepted at boundary; one Current revision
.W03 manual/147: accepted at boundary; one Current revision
.W03 manual/148: accepted at boundary; one Current revision
.W03 manual/149: accepted at boundary; one Current revision
.W03 manual/150: accepted at boundary; one Current revision
.W03 manual/151: accepted at boundary; one Current revision
.W03 manual/152: accepted at boundary; one Current revision
.W03 manual/153: accepted at boundary; one Current revision
.W03 manual/154: accepted at boundary; one Current revision
.W03 manual/155: accepted at boundary; one Current revision
.W03 manual/156: accepted at boundary; one Current revision
.W03 manual/157: accepted at boundary; one Current revision
.W03 manual/158: accepted at boundary; one Current revision
.W03 manual/159: accepted at boundary; one Current revision
.W03 manual/160: accepted at boundary; one Current revision
.W03 manual/161: accepted at boundary; one Current revision
.W03 manual/162: accepted at boundary; one Current revision
.W03 manual/163: accepted at boundary; one Current revision
.W03 manual/164: accepted at boundary; one Current revision
.W03 manual/165: accepted at boundary; one Current revision
.W03 manual/166: accepted at boundary; one Current revision
.W03 manual/167: accepted at boundary; one Current revision
.W03 manual/168: accepted at boundary; one Current revision
.W03 manual/169: accepted at boundary; one Current revision
.W03 manual/170: accepted at boundary; one Current revision
.W03 manual/171: accepted at boundary; one Current revision
.W03 manual/172: accepted at boundary; one Current revision
.W03 manual/173: accepted at boundary; one Current revision
.W03 manual/174: accepted at boundary; one Current revision
.W03 manual/175: accepted at boundary; one Current revision
.W03 manual/176: accepted at boundary; one Current revision
.W03 manual/177: accepted at boundary; one Current revision
.W03 manual/178: accepted at boundary; one Current revision
.W03 manual/179: accepted at boundary; one Current revision
.W03 manual/180: accepted at boundary; one Current revision
.W03 manual/181: accepted at boundary; one Current revision
.W03 manual/182: accepted at boundary; one Current revision
.W03 manual/183: accepted at boundary; one Current revision
.W03 manual/184: accepted at boundary; one Current revision
.W03 manual/185: accepted at boundary; one Current revision
.W03 manual/186: accepted at boundary; one Current revision
.W03 manual/187: accepted at boundary; one Current revision
.W03 manual/188: accepted at boundary; one Current revision
.W03 manual/189: accepted at boundary; one Current revision
.W03 manual/190: accepted at boundary; one Current revision
.W03 manual/191: accepted at boundary; one Current revision
.W03 manual/192: accepted at boundary; one Current revision
.W03 manual/193: accepted at boundary; one Current revision
.W03 manual/194: accepted at boundary; one Current revision
.W03 manual/195: accepted at boundary; one Current revision
.W03 manual/196: accepted at boundary; one Current revision
.W03 manual/197: accepted at boundary; one Current revision
.W03 manual/198: accepted at boundary; one Current revision
.W03 manual/199: accepted at boundary; one Current revision
.W03 bounded_auto/0: accepted at boundary; one Current revision
.W03 bounded_auto/1: accepted at boundary; one Current revision
.W03 bounded_auto/2: accepted at boundary; one Current revision
.W03 bounded_auto/3: accepted at boundary; one Current revision
.W03 bounded_auto/4: accepted at boundary; one Current revision
.W03 bounded_auto/5: accepted at boundary; one Current revision
.W03 bounded_auto/6: accepted at boundary; one Current revision
.W03 bounded_auto/7: accepted at boundary; one Current revision
.W03 bounded_auto/8: accepted at boundary; one Current revision
.W03 bounded_auto/9: accepted at boundary; one Current revision
.W03 bounded_auto/10: accepted at boundary; one Current revision
.W03 bounded_auto/11: accepted at boundary; one Current revision
.W03 bounded_auto/12: accepted at boundary; one Current revision
.W03 bounded_auto/13: accepted at boundary; one Current revision
.W03 bounded_auto/14: accepted at boundary; one Current revision
.W03 bounded_auto/15: accepted at boundary; one Current revision
.W03 bounded_auto/16: accepted at boundary; one Current revision
.W03 bounded_auto/17: accepted at boundary; one Current revision
.W03 bounded_auto/18: accepted at boundary; one Current revision
.W03 bounded_auto/19: accepted at boundary; one Current revision
.W03 bounded_auto/20: accepted at boundary; one Current revision
.W03 bounded_auto/21: accepted at boundary; one Current revision
.W03 bounded_auto/22: accepted at boundary; one Current revision
.W03 bounded_auto/23: accepted at boundary; one Current revision
.W03 bounded_auto/24: accepted at boundary; one Current revision
.W03 bounded_auto/25: accepted at boundary; one Current revision
.W03 bounded_auto/26: accepted at boundary; one Current revision
.W03 bounded_auto/27: accepted at boundary; one Current revision
.W03 bounded_auto/28: accepted at boundary; one Current revision
.W03 bounded_auto/29: accepted at boundary; one Current revision
.W03 bounded_auto/30: accepted at boundary; one Current revision
.W03 bounded_auto/31: accepted at boundary; one Current revision
.W03 bounded_auto/32: accepted at boundary; one Current revision
.W03 bounded_auto/33: accepted at boundary; one Current revision
.W03 bounded_auto/34: accepted at boundary; one Current revision
.W03 bounded_auto/35: accepted at boundary; one Current revision
.W03 bounded_auto/36: accepted at boundary; one Current revision
.W03 bounded_auto/37: accepted at boundary; one Current revision
.W03 bounded_auto/38: accepted at boundary; one Current revision
.W03 bounded_auto/39: accepted at boundary; one Current revision
.W03 bounded_auto/40: accepted at boundary; one Current revision
.W03 bounded_auto/41: accepted at boundary; one Current revision
.W03 bounded_auto/42: accepted at boundary; one Current revision
.W03 bounded_auto/43: accepted at boundary; one Current revision
.W03 bounded_auto/44: accepted at boundary; one Current revision
.W03 bounded_auto/45: accepted at boundary; one Current revision
.W03 bounded_auto/46: accepted at boundary; one Current revision
.W03 bounded_auto/47: accepted at boundary; one Current revision
.W03 bounded_auto/48: accepted at boundary; one Current revision
.W03 bounded_auto/49: accepted at boundary; one Current revision
.W03 bounded_auto/50: accepted at boundary; one Current revision
.W03 bounded_auto/51: accepted at boundary; one Current revision
.W03 bounded_auto/52: accepted at boundary; one Current revision
.W03 bounded_auto/53: accepted at boundary; one Current revision
.W03 bounded_auto/54: accepted at boundary; one Current revision
.W03 bounded_auto/55: accepted at boundary; one Current revision
.W03 bounded_auto/56: accepted at boundary; one Current revision
.W03 bounded_auto/57: accepted at boundary; one Current revision
.W03 bounded_auto/58: accepted at boundary; one Current revision
.W03 bounded_auto/59: accepted at boundary; one Current revision
.W03 bounded_auto/60: accepted at boundary; one Current revision
.W03 bounded_auto/61: accepted at boundary; one Current revision
.W03 bounded_auto/62: accepted at boundary; one Current revision
.W03 bounded_auto/63: accepted at boundary; one Current revision
.W03 bounded_auto/64: accepted at boundary; one Current revision
.W03 bounded_auto/65: accepted at boundary; one Current revision
.W03 bounded_auto/66: accepted at boundary; one Current revision
.W03 bounded_auto/67: accepted at boundary; one Current revision
.W03 bounded_auto/68: accepted at boundary; one Current revision
.W03 bounded_auto/69: accepted at boundary; one Current revision
.W03 bounded_auto/70: accepted at boundary; one Current revision
.W03 bounded_auto/71: accepted at boundary; one Current revision
.W03 bounded_auto/72: accepted at boundary; one Current revision
.W03 bounded_auto/73: accepted at boundary; one Current revision
.W03 bounded_auto/74: accepted at boundary; one Current revision
.W03 bounded_auto/75: accepted at boundary; one Current revision
.W03 bounded_auto/76: accepted at boundary; one Current revision
.W03 bounded_auto/77: accepted at boundary; one Current revision
.W03 bounded_auto/78: accepted at boundary; one Current revision
.W03 bounded_auto/79: accepted at boundary; one Current revision
.W03 bounded_auto/80: accepted at boundary; one Current revision
.W03 bounded_auto/81: accepted at boundary; one Current revision
.W03 bounded_auto/82: accepted at boundary; one Current revision
.W03 bounded_auto/83: accepted at boundary; one Current revision
.W03 bounded_auto/84: accepted at boundary; one Current revision
.W03 bounded_auto/85: accepted at boundary; one Current revision
.W03 bounded_auto/86: accepted at boundary; one Current revision
